Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,26/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,15.30263118,12.69755064,13.25869336,13.01928691,13.62951283,14.71182192,14.01145936,12.19932396,11.32580442,15.43527822,13.71309754,12.59557093,12.27097396,12.69146608,13.032239,,,,,,,,
Afghanistan,AFG,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,9.116937914,7.909527073,7.777923268,13.27568667,11.6892911,9.927797834,10.11207656,10.70255244,10.50169571,8.957452103,7.765667575,12.46791708,11.07330084,11.62264834,12.65272875,,,,,,,,
Angola,AGO,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,33.90928726,32.20675944,32.36363636,25.92067989,28.37837838,27.96747967,23.75757576,23.54771784,17.78154107,15.78947368,15.53205552,15.17412935,13.9636819,9.07079646,7.772020725,,,,,,,,
Albania,ALB,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,15.25974026,16.77018634,11.46666667,13.08900524,13.71571072,11.78010471,17.94195251,16.93121693,13.47708895,20.68965517,26.46310433,26.8115942,18.3908046,15.93406593,22.08737864,,,,,,,,
Andorra,AND,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,20.37161543,20.93554951,20.50431612,19.69722869,18.65137893,19.10860367,19.33373952,20.71900876,20.26163022,19.72573919,20.86866835,20.82959626,20.46867746,20.2600315,19.53175551,,,,,,,,
United Arab Emirates,ARE,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,42.16459977,44.94163424,39.98307595,36.35719348,32.25069054,31.41931419,29.61224135,34.16834474,35.37684326,41.43537415,41.73970346,43.47744125,41.56562684,41.45385369,36.92070911,,,,,,,,
Argentina,ARG,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,19.43726672,21.40971899,21.56072691,21.81025915,22.05691667,20.79903634,21.29040388,20.51096213,18.86781772,18.19150826,18.13262722,17.32531184,16.10000539,16.5274628,16.87022504,,,,,,,,
Armenia,ARM,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,21.05263158,23.12138728,27.49140893,30.27522936,31.79190751,32.92978208,34.69879518,24.375,25.42694497,22.4824356,12.83950617,12.84796574,12.31617647,12.59541985,11.11111111,,,,,,,,
American Samoa,ASM,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,14.32925007,13.85215377,10.8592877,12.54038429,12.34419746,11.77134868,11.29985425,11.16789263,11.48352353,10.54239685,9.765364276,10.22715539,10.62285257,11.39590729,11.48804109,,,,,,,,
Austria,AUT,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,17.53677065,16.16847826,15.23316062,15.16607192,15.83288264,15.41247485,16.2493044,16.29245826,17.42065202,18.42022613,16.89238386,17.52021563,17.51173709,17.01697026,17.68673906,,,,,,,,
Azerbaijan,AZE,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,9.78021978,8.517228029,11.79929439,8.554996405,6.897810219,5.825577387,5.512078938,8.54252529,9.201388889,7.096247961,6.119847004,6.54311649,7.545863621,7.470288625,7.469957778,,,,,,,,
Burundi,BDI,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,25.82711716,26.45211931,22.8744186,22.28256031,20.61948496,18.99701715,20.35916643,20.87427311,19.61256746,19.06143168,19.79117228,18.24396496,18.73233312,19.35760171,20.68452381,,,,,,,,
Benin,BEN,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,11.26760563,8.670520231,7.425742574,6.140350877,6.172839506,5.223880597,4.012345679,3.430079156,3.133159269,3.579952267,3.296703297,3.205128205,3.265306122,3.250478011,6.097560976,,,,,,,,
Burkina Faso,BFA,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,
