Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,26/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.027582539,-2.82482461,4.446603764,3.030798494,2.817213655,5.06249127,3.485226473,5.157936612,4.264063347,1.703837811,-1.21664207,4.01181417,0.168847373,-1.986754967,2.335108562,2.531592039,-1.389713114,-1.75393533,0.65831761,2.996712248,-5.588888959,2.216016608,
Africa Eastern and Southern,AFE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,11.11730588,8.629983989,9.459264972,8.112711761,9.839590589,7.40752901,8.5925531,8.259570197,11.46303997,7.899822951,6.128432432,9.430270472,6.992016281,5.844111401,5.743313937,5.366462298,6.400900454,5.217430866,3.980391277,4.741007655,4.938536035,6.062862392,8.752940165
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,11.65523821,11.27143207,10.91277355,7.199751289,22.5277562,2.096288749,-2.163404428,3.814630317,16.59334673,7.301756471,4.822785479,0.566944541,2.447563002,-2.197526466,2.403656188,2.071348579,6.521479845,7.821667127,0.47742893,
Africa Western and Central,AFW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.28980486,4.3199575,2.240060683,1.718821631,5.681951339,6.688933948,4.64332214,4.761878301,9.186758962,1.396219051,5.004665298,8.789839436,4.730094835,1.571310021,0.280788088,1.934916998,1.736323129,1.759171689,3.365101128,1.582289576,1.567366075,6.454913198,7.42574859
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,418.0189915,106.3521255,196.9840994,93.92656691,33.4435948,42.37424925,17.11566514,4.30843222,19.36577355,-16.76214029,32.27046912,31.77146016,7.255749909,2.839724126,3.560884772,-3.518385346,21.77431256,22.61443652,28.16709326,19.18700383,10.76310528,38.82904276,16.30092559
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.647471468,3.810857374,3.647476271,5.198635303,3.152368925,3.306818147,2.478188887,4.386709383,4.117085426,2.418336059,4.4931432,2.314743797,1.042714606,0.288745964,1.54991707,0.56399135,-0.632653419,1.450731581,1.472953487,1.257024829,0.696542442,3.45443199,9.679621386
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959,0.347795382,1.136509343,1.01247848,1.374753508,1.113786074,2.559556526,4.213076377
Arab World,ARB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.4423447,0.694216149,3.970747733,5.016239685,11.02378422,15.3553048,9.821605303,8.349756315,16.47924069,-5.74274653,11.79676326,14.28964321,4.670767951,1.506209755,0.525241315,-2.11493647,0.920589534,5.252949282,7.341055798,2.346912358,0.408309421,12.69571522,13.85341511
United Arab Emirates,ARE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,11.4595358,-2.349307672,3.770839549,4.072406796,8.501422059,16.52630693,11.96214928,12.53396067,18.53335308,-15.18297988,12.49017594,13.16721938,4.679725121,-0.949325325,-0.668049356,-16.26700603,-5.529478613,4.986213144,7.936748033,-3.194409404,-12.0313053,14.2808297,13.85341511
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,42.03366896,49.19557906,40.07688303,54.15241194,69.68286091
