Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,2379.883,2409.219,2438.555,2563.233,2618.238,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,898.415,883.747,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,77461.5637,71616.66591,68790.52078,89536.57435,106408.2533,80954.42721,112586.5103,122853.9734,130569.3866,148944.8859,122216.8869,140584.9783,133288.116,139929.053,163665.544,161509.348,164886.655,,,,,,
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,498.712,491.378,440.04,619.723,561.051,861.745,1136.77,1199.109,2812.589,4946.783,5870.867,7609.025,6761.948,4785.435,3773.343,4741.431,3476.316,,,,,,
Africa Western and Central,AFW,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,58694.002,66523.047,67601.145,66193.017,63325.423,72822.953,68616.904,68352.88,71532.169,66706.397,105499.59,118290.086,109181.258,115913.87,124190.289,114733.096,121869.078,,,,,,
Angola,AGO,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,3670.667,4305.058,5023.79,6842.622,5038.458,4737.764,7763.039,8808.134,10227.263,12306.452,13380.883,14356.305,17282.571,17454.92,28265.236,17080.886,17931.63,,,,,,
Albania,ALB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,2845.592,3127.951,3641.331,3894.354,3762.342,3916.356,3545.989,3380.974,3799.012,3417.644,3494.651,3777.01,3157.287,3333.303,3861.351,3340.637,3362.639,,,,,,
Andorra,AND,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,524.381,524.381,531.715,535.382,561.051,575.719,546.383,539.049,539.049,517.047,517.047,491.378,487.711,476.71,462.042,465.709,469.376,,,,,,
Arab World,ARB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,624625.779,622733.607,600163.222,666044.544,723326.751,725215.256,762589.32,720301.476,799108.973,869607.048,890519.949,873362.056,990647.384,971674.326,1038219.375,987893.467,919881.618,,,,,,
United Arab Emirates,ARE,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,46655.241,34983.18,10318.938,28928.963,29302.997,30454.435,31719.55,33824.408,35096.857,42335.515,28331.242,29801.709,72390.247,67535.139,73273.994,42020.153,52335.424,,,,,,
Argentina,ARG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,66875.079,63714.125,57542.564,59405.4,67868.836,71858.532,81979.452,78015.425,88730.399,82448.828,90219.201,86977.573,85657.453,90835.257,87586.295,91623.662,88792.738,,,,,,
Armenia,ARM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,788.405,777.404,817.741,935.085,920.417,982.756,920.417,924.084,1034.094,953.42,1008.425,942.419,898.415,854.411,858.078,821.408,828.742,,,,,,
American Samoa,ASM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,344.698,348.365,370.367,403.37,421.705,429.039,443.707,469.376,480.377,509.713,524.381,513.38,524.381,524.381,528.048,546.383,557.384,,,,,,
