Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,727.1055914,732.364434,720.0369481,733.7822339,751.434195,742.7871137,736.8856407,749.8769833,773.6424968,759.7394135,749.1356994,743.4141883,722.2504827,719.0057426,734.2182972,,,,,,,,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,544.713408,551.7317704,555.3548229,564.633169,571.0223182,577.4778488,570.6585176,575.1899973,577.8968984,563.7363317,588.1141271,600.9520392,614.840128,612.8216982,602.378095,,,,,,,,
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,438.5877643,443.0877698,448.3456086,467.5701882,464.4864386,433.1856337,458.5111153,471.5967013,492.0718795,515.3683584,520.7853388,520.9536739,550.6013667,531.0822633,540.8641156,,,,,,,,
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,580.4947642,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781,706.8594077,679.8617651,710.7484985,732.3166818,729.1543727,764.9686166,687.8962599,801.329975,808.4558396,,,,,,,,
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1272.863357,1337.705352,1373.016368,1364.85886,1413.727791,1467.576877,1531.096626,1557.63403,1635.939079,1677.457251,1735.212837,1703.940997,1802.870054,1759.610567,1916.305778,,,,,,,,
United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,9624.118219,11638.61944,10973.90836,10287.49322,10480.61534,10394.30034,9430.146109,8537.916952,8487.835981,7501.040582,7273.249301,7502.562096,7892.705906,7992.442167,7975.790608,,,,,,,,
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1660.520091,1562.311787,1502.209342,1590.841321,1720.311256,1712.85349,1844.265162,1849.452796,1928.326599,1856.096393,1928.652357,1952.051053,1936.80354,1967.021678,2029.922825,,,,,,,,
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,635.8167512,640.1723131,604.3013336,642.3967171,683.2776372,824.4519806,845.3995822,949.5581969,1006.920914,880.4687521,842.8221497,927.1390411,1019.273811,999.6470651,1023.809919,,,,,,,,
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,1710.137951,1715.308818,1767.723592,1780.14046,,,,,,,,,,,,,,,
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5680.902876,5486.0561,5614.26335,5618.086484,5652.763331,5624.192019,5778.281818,5868.340898,5964.666056,5862.564646,5793.116026,5745.23219,5575.287093,5468.391369,5334.681679,5483.816402,,,,,,,
Austria,AUT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3570.498826,3758.457569,3773.651728,3973.624327,4007.569904,4085.567651,4078.812226,4019.59017,4032.148426,3798.151168,4051.19602,3921.900515,3886.767732,3919.044419,3763.327903,3800.29942,,,,,,,
Azerbaijan,AZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1403.433268,1410.965455,1414.528111,1476.590884,1539.230121,1599.960676,1559.568746,1411.55734,1520.313919,1334.166178,1279.552594,1369.350999,1472.897391,1474.003433,1502.078168,,,,,,,,
Burundi,BDI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5669.358176,5634.215487,5390.719733,5590.025976,5592.98875,5555.615784,5470.491824,5336.963212,5454.667159,5196.581983,5539.472223,5092.316147,4845.488295,4997.463306,4708.221218,4687.787049,,,,,,,
Benin,BEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,283.3185887,292.3646718,304.3498444,311.4562237,315.471273,306.6825991,350.9653107,370.7655658,367.99286,374.8990735,386.7745252,385.9385506,388.3085392,394.2625328,403.9115412,,,,,,,,
Burkina Faso,BFA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,141.3536088,151.7153229,152.4800174,157.8900865,158.1630412,161.7588677,171.2278354,177.0200969,184.1564385,192.0439481,205.6245892,210.7342601,218.4035193,220.2323144,227.1281031,,,,,,,,
Bulgaria,BGR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2277.367967,2421.145361,2410.969355,2490.416673,2440.69816,2597.896167,2691.460438,2666.111445,2648.867056,2351.655053,2416.703907,2617.127869,2513.352381,2329.122801,2477.655401,,,,,,,,
Bahrain,BHR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,11199.60868,11212.39783,11345.2101,11573.26253,10847.86388,11510.31853,11454.06038,11184.11447,11362.0692,10388.48263,10436.77105,10453.08343,10251.06965,10860.4686,10798.12285,,,,,,,,
"Bahamas, The",BHS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,1935.357881,2001.127072,2001.905496,1982.296332,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1039.929654,1001.238161,1049.503264,1051.449451,1160.830441,1230.974939,1306.04551,1323.415694,1511.779199,1603.370511,1700.650051,1908.971661,1819.092722,1784.077053,2190.943438,,,,,,,,
Belarus,BLR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2462.411056,2485.565111,2550.108823,2643.687513,2752.759003,2768.821539,2965.377967,2917.907033,2932.103273,2790.777881,2902.105435,3101.431115,3228.473004,2888.460292,2936.577547,,,,,,,,
Belize,BLZ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,569.5849012,574.2309407,595.7143203,598.9776999,,,,,,,,,,,,,,,
Bermuda,BMU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,570.849572,436.3677504,514.0487988,525.1813494,516.7561659,553.9249309,681.2801626,545.4349803,570.1473586,583.8059828,625.2689208,649.337559,734.2825438,726.3237004,763.1663388,,,,,,,,
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1065.773693,1070.140587,1084.675901,1089.510544,1137.069278,1152.75657,1180.04792,1234.198706,1290.167819,1236.153983,1354.075465,1362.560782,1408.852528,1456.109047,1490.425846,,,,,,,,
Barbados,BRB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,1396.622037,1447.247817,1471.757419,1477.284449,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7140.821619,6479.119467,6208.966135,7075.188182,6371.590824,6048.015227,8453.469346,8520.80011,9212.076928,7795.849976,8181.566609,9645.895703,9418.902502,7389.223273,8529.729561,,,,,,,,
Bhutan,BTN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,276.9269113,307.5424793,313.4004694,357.9738679,,,,,,,,,,,,,,,
Botswana,BWA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1039.568381,1030.89226,1027.81247,1006.702199,972.8301826,986.0492908,1000.094364,1013.467875,1050.949027,960.3469405,1029.728962,969.6514165,1078.771734,1119.345883,1201.803594,,,,,,,,
Central African Republic,CAF,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,8265.079925,8056.349425,7993.879384,8341.343144,8455.547014,8422.034308,8239.946371,8213.389543,8194.880771,7797.121136,7788.560786,7911.554588,7733.411655,7743.725742,7897.855615,7631.34157,,,,,,,
Central Europe and the Baltics,CEB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2376.471067,2456.952678,2484.393209,2570.983706,2579.474482,2617.576469,2690.908886,2696.754909,2706.449045,2527.351474,2634.983932,2637.759995,2566.107153,2511.709559,2470.544318,,,,,,,,
Switzerland,CHE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3480.591572,3673.292573,3553.740257,3542.065603,3530.578345,3488.218348,3619.151639,3410.819883,3499.790982,3481.852845,3347.618356,3205.328271,3202.834337,3304.115438,3059.936749,2960.073389,,,,,,,
Channel Islands,CHI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1639.401024,1590.919093,1629.15083,1628.927584,1717.538294,1753.53055,1807.423579,1856.397348,1820.306105,1753.805979,1814.122096,1957.052327,2145.521988,2209.860008,2041.193224,2016.687461,,,,,,,
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,898.9873131,928.8114337,984.8107146,1118.431773,1268.132904,1393.691324,1515.173678,1630.171029,1672.90412,1778.433519,1954.722556,2085.083022,2149.602569,2204.243299,2224.354898,,,,,,,,
Cote d'Ivoire,CIV,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,404.1707367,378.6542064,394.695581,364.2195704,501.4324421,507.0279383,487.7037847,513.7037598,505.437861,453.4779924,481.1939294,540.3381009,573.9281401,602.1414672,603.3722604,,,,,,,,
Cameroon,CMR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,418.0908922,412.0596882,410.6672394,415.8512555,417.1974657,408.3631357,378.7338675,347.3461837,340.585206,357.8818749,350.4772806,328.3445009,329.2136657,336.3587322,340.9477351,,,,,,,,
"Congo, Dem. Rep.",COD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,286.051718,286.8628813,287.8932399,289.9660692,292.6699507,294.666476,296.2336269,297.3000139,298.5684724,297.8602131,298.9582951,307.0318176,368.3651214,374.1520166,377.7181548,,,,,,,,
"Congo, Rep.",COG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,226.5045325,244.5363558,240.6250319,276.2154297,283.509624,295.8969887,372.0012703,318.4634038,329.6707112,361.6147119,377.8544009,487.0501303,542.9177743,543.7131555,531.4836959,,,,,,,,
Colombia,COL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,658.2539114,645.3004835,623.0283247,626.7680885,624.2451667,641.4757938,665.5117456,653.2336124,675.9644739,692.8601911,696.239486,689.7473496,689.0212022,727.8467267,728.5650331,,,,,,,,
Comoros,COM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,58.5042863,62.42797583,69.46075302,66.46144669,,,,,,,,,,,,,,,
Cabo Verde,CPV,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,182.9081575,200.881851,204.4563466,204.0682896,,,,,,,,,,,,,,,
Costa Rica,CRI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,722.1524565,713.1987836,737.6886026,779.2938469,909.2847065,895.6979179,955.3544265,1015.412772,1018.644263,999.5128341,1005.158741,994.6725653,999.101675,1010.72746,1012.684011,,,,,,,,
Caribbean small states,CSS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3229.008823,3479.499551,3570.526537,3901.960693,3036.853002,3341.394028,3660.543706,3808.077325,4892.186134,4801.881559,5001.355998,4936.992816,4801.021417,4849.48716,4800.682472,,,,,,,,
Cuba,CUB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1146.912183,1117.220676,1038.161419,1030.320245,1004.675423,948.738382,946.0282418,899.8347543,954.8402361,1011.566504,1093.213298,1027.148497,1060.427401,1018.652169,1032.392089,,,,,,,,
Curacao,CUW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,15720.11056,16994.13392,16662.99292,15566.69219,16180.823,15178.82724,14581.1072,16222.45516,15326.48752,15608.494,13710.07982,16064.05182,13395.36979,11727.50972,12650.86044,,,,,,,,
Cayman Islands,CYM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2253.588502,2191.303131,2182.000705,2330.877193,2144.076082,2140.019594,2187.15358,2270.537578,2364.915461,2273.110802,2162.157449,2068.021092,1925.325708,1654.416402,1676.214427,,,,,,,,
